Tweet,Class
وزير الخارجية اللبناني جبران باسيل قال في سلسلة تغريداته عقب اختتام القمة العربية التنموية الاقتصادية والاجتماعية لمسنا تج…,normal
سورية بلد الحضارات تربطها بعلية او بحيوان,normal
اخي الحاج اذا شعرت انك محرجا من الانتقادات لتصريح جبران باسيل لا داعي لأن تهاجم المنتقدين,normal
ما فيك تعيش بلا ما تكب فتن ليل نهار وبكرة قلهم الموضوع عند السيد ,normal
هذا البطل الذي قاتل وجاذف بحياته لتحيا انت يا واطي يا عيب الشوم,abusive
ولعها وهيك بتكون الشقيقة قدمت اكبر خدمة لشقيقتها        ,normal
قبل ما تترحم وسام الحسن كان مشارك بقتل الحريري والحريري كان عارف ومن اغتاله للحسن حتى يأخذ ثئاره لوالده… ,normal
كلنا معك معالي الوزير الملك جبران باسيل,normal
ولك مبارح أيها المريض النفسي كنت عم تدافع عن العماد عثمان لأنو ما قبل حدا يتدخل بنقل ضباط دروز   ولازم تفهم أنو ما حدا أكبر من الدولة وكلوا ألوا حساب ولو بعد حين,normal
انو غريب يوجعك راسك القواتجية عادة بيكونو بلا راس,hate
يا طائفي روح اسأل أهل قانا وهني بخبروك,abusive
النهفة انو باسيل بالمقابلة قال انو اسرائيل لا تحترم القرار بينما لبنان تحترمه ,normal
جبران باسيل رقم الصعب و الرئيس عون الرقم الأصعب و اثبت ذلك منذ عودته من المنفى و ليس الآن,normal
الدين العام صار مليار,normal
"غرد الجحش وظن باءنه حصاناً تتكلم مع العوني بموضوعية فيرد كبهيم حقير جربان مثل اصله

",hate
وكل مين بيشد على مشدو وكل مين مغطية ,normal
لولا الفلسطينيين واللبنانين والشاميين لكان انتو لليوم تشربوا بول البعير تاكلون بصحن وتبزقون منو,hate
معليش ما رح تتشكل وكل نوابا فاشلين ,normal
على راية يوسف علاونة ربي اغفر لي واعرف انك لن تغفر لي اقترح ان نعرض امك ع طبيب بيطري لنشوف اي جحش ابوك  … ,abusive
و قبل ما نقول معاليه شو سب   نتذكر مين الي علقلو مشنقى بي طرابلس و لا مين تابعين نتذكر الصور  ,normal
والله وصاير شعراوي يا واوي بعرفك حمار ما بتحكي غير كلمتين حافظن لتسب العالم   ,abusive
مشكلتك يا بوق بانك سلبي بسليقتك وتحب ان تهاجم الآخرين لكي تظهر من جهة وتنفذ ما يطلبه منك مشغليكالمهم م… ,abusive
صحيح كان يجب ان يحضر ذلك الذي زرع الورود وضمد الجراح وواكب الشهداء سفاح وقاتل الاطفال كفاكم كذب ,normal
كول هوا,abusive
الله اكبر عليك اللي استحو ماتو العقاب لوهاب وهاب قاتل ابو دياب ,normal
ضياع الهوية السورية هلأ نحنا سوريين ولا عرب سوريين ولا كرد سوريين ولا آشور ولا سريان ولا تركمان,normal
هيدي مش وزيره هيدي شيطان الحكومه عاملي فوق ال عملية تجميل وبعدا بشعه يا محلا المسخ,hate
الاسد لا حضور له مع الخراف ,normal
هو ما قال اسرائيل لها حق بالأمان مين عم يترجملك يا أخ,normal
مش انت بسام حلاوي الي شحتك ,normal
