Comment,Majority_Label
@User.IDX في فترة الصغر والمراهقة يكون من الصعب تقبل تعليقات الأصدقاء حول شعرك المجعد😔 وهنا يأتي دور الوالدين في ادخال الثقة الى نفسية طفلهما لكن مع تقدم بالسن يصبح الأمر عاديا (اتكلم عن تجربتي شخصية) ,Non-Offensive
"""ردا على معظم الردود .. أحب اوضحلكم ان عمليات زرع الكلى لا تتم الا فى حالات معينه حيث تضمن عدم تكرار الفشل فى الكليه المزروعة وهذا ما يحدث مع الأمراض الوراثية التي لابد من استبعادها قبل بدء اجراءات الزرع فارجو التواصل مع الاطباء قبل تجميع اى مبلغ مالى لعمليه الزرع لضمان وصول المال الى مستحقيه * التواصل تليفونيا غير متاح حاليا ويرجى الذهاب شخصيا لمكان تواجد الطفل *الطفل اسمه محمد سعد النادي موجود ايام الاحد والتلات والخميس في مستشفى الدمرداش """" مستشفيات جامعة عين شمس"""" مبنى مستشفى الاطفال الجديدة وحدة الكلى الصناعي الدور التاني .. بالعباسية القاهرة * اقرب محطة مترو هي محطة مترو الدمرداش بيانات الطفلين الاخ الأكبر أحمد سعد نادي 14سنه والطفل المريض محمد سعد نادي 10سنوات محافظه بني سويف .مركز ببا .قريه سدس عربه المزرعه رقم الموبيل للتواصل 01282932709 وربنا يقدر فاعل الخير """,Non-Offensive
@User.IDX يجب ان تذكروا ان لكل سنة ثيم للحفل وهو نوع من الحفلات التنكرية !! ,Non-Offensive
بتعمل حلقة صغيرة عشان عندي امتحان بكرة ومتضيعليش اليوم الله عليك يا فخر اليوتيوب ,Non-Offensive
على طاري السطحيه مدري ليه تذكرت فيحان ,Non-Offensive
الإنسانة الوحيدة اللي ممكن أتابع جميع حلقاتها بدون ملل.. 😍 أُسلوبها ممتع ,Non-Offensive
تشارلز داروين 😂 إعمل نفسك ميت ... 🚶🚶🚶 ,Non-Offensive
جواب سؤالك ( ليش ما اخذت الصوابين حقت الفندق ) : لأنهم سوولك ترقية لحجزك (اب قريد) #وحش_الملوخية ,Non-Offensive
@User.IDX خبتم وخاب مسعاكم نحن دعاة السلام ومهما حاولتم ان تطمسوا الحقائق فأن التاريخ سيشهد بذالك ويثبت من هي الدول التي تحارب الإسلام والمسلمين 🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦🇸🇦 ,Non-Offensive
هههههههههههههههههههههه إياس ياسين تخيل.. أنا سهل أحطلك أي اشي بس إنت مستحيل تلاقي اشي بكرهه ,Non-Offensive
@User.IDX أجل بسبب تغريدة يسجن ويحاكم يامرتزقة. وأكاديمية التغيير غير الله عليكم <url> ,Offensive
الله سبحانة وتعالى اباح تعدد الزوجات ولم يقم بفرضة وقام ايضاً بوضع قواعد للتعدد ابرزها العدل بين الزوجات فأن لم تعدلوا فواحدة. هذا كلم الله سبحانة ..عشان هيك بتمنى منك لا تتكلمي كثير وهناك اسباب وظروف من بعض الرجال تمنع ذلك. ,Non-Offensive
وين من جد انتهى!! تصدق يا عمر انو الفيديو حقك اثر فيني... مسحت كل حساباتي في وسائل التواصل الاجتماعي و جدا مرتاح من هذا القرار. بس غريبة نطلع من هنا ترجع من هنا هههههههههههه ,Non-Offensive
كيف رح يصير سلام فالعالم لما في ناس عن زيكو بتتطلع عالجانب السلبي وبتفرجي هذا الجانب للعالم لإنو همها تزيد الفتنه وتكبر الحقد بين الطرفين... شاركو بالجنازه معملوش إتفاقيه بيع للشعوب !!! 😒 ,Non-Offensive
اذا أردتم تعلم اللهجة المغربية بطريقة سهلة .. تعالوا الى قناتي ,Non-Offensive
رشااا مأهضمك ومأطيب طبخاتك يعطيكي العافية يارب ياريت شي نهار اطبخ انا وانتي انا بحب الطبخ كتيير 😍😍😘💖👍 ,Non-Offensive
@User.IDX التاريخ هي أحداث الوجبه ولكن محاه العنز تميم بإستقدامه للعلوج الأتراك ,Offensive
@User.IDX حكومة السراج وتنظيم الحمدين الإرهاببي اللي في ليبيا تجند الصم والبكم اصحاب الاحتياجات الخاصة و تزج بهم في ساحات القتال عليهم ما يستحقون من الله من العذاب #النصر النصر للمشير البطل حفــتر 👇👇👇👇👇👇 <url> <url> ,Offensive
ههههه العراقين ماعدهم مشكله بهذا الشي ,Non-Offensive
يعني مش ناقصه الوطن العربي فتنه وتشتت وانقسام بالله ترحمونا ليش الفتنه بينهم وزيادة البغضاء 😕 اللهم اصلح حال وطننا العربي ووحد صفوفهم واعز الاسلام والمسلمين واكفنا شر كل من ارد بنا سوء ... ,Non-Offensive
بدنا تشرح لنا اسباب الازمة المالية بالسعودية والحلول ,Non-Offensive
@User.IDX رحمهم الله و غفر لهم و الهم ذويهم الصبر و السلوان. انا لله و انا اليه راجعون. ,Non-Offensive
@User.IDX سبحان من خلاه مطارد ومطلوب في العالم بعد ماكان يلاحق المصلحين ,Non-Offensive
عمر انا احبك -لكن شف نفسك؟ بالاول حاط صوره وسخه !دس لايك وبعدين كلامك مو واضح بالنسبه لي ,Offensive
"انا مش فاهم إيه الكوميدي فيك، و مين اللي اختارك تبقى كوميدي، انا مقدرش اشوف كمية السخافات دي و ما اقولش رأيي .. انت مش كوميدي يا نيكولاس و كل مرة اتفرج على فيديو ليك اقول هضحك بس حقيقي انت أوڤر أكتور ",Offensive
@User.IDX ترامب المعتوة يفعل بالعرب مايريد. والعرب صامتون. ازلال مابعدة ازلال. اين الاسد. اسد ع شعبه فقط؟ ,Non-Offensive
@User.IDX زقو انتو والجامعه المعفنه هاي والله محد درابكم 😂 ,Offensive
بعد النراويح هي نفسها قبل السحور XD ,Non-Offensive
@User.IDX والله ما عندكم سالفه يا قناة الجزيرة الشيطانية سوى البحث في شؤون لا تخصكم.. من الأفضل انشغلوا بأخبار الشعب القطري المغلوب على أمره من قِبل حكومته.. ووقفوا معهم بدلاً من البحث في ما لا يعنيكم.. إنتهى.. ,Offensive
@User.IDX الرجل اخترق حاجز الزمن واكتشف مشكله ستحدث بعد ٤١ سنه ولذلك تواجبا مع اكتشافه المذهل موتوا جوعا ل ٤١ سنه اخرى يحكم فيها لكي يتعامل مع هذا التحدي الرهيب ,Non-Offensive
@User.IDX صدق سيد البشر تهاف عليكم الأمم خيرالزمان وهذا ميدل بأن هذه الدوله هى التي علي الشريعه وقول يجب علينا الابتعاد عن المعاصى الكي ينصرنا الله واللهم حفظ ملكنا وولى عهده ورزقه البطانة الصالحه ,Non-Offensive
قبل كنت اعرفه و كنت اذكر ايامه سعره اقل من مية دولاار. بس يومها معلوماتي عن الاستثمار ولا شي. حدي كان دارك نت و هاكينغ. و بعدها تركت كل شي لا دارك نت ولا خرابيط. و هالسنة تحسفت 😅 ,Non-Offensive
الثانية 29 شوفوا المصة في رقبة عمر حسين ,Non-Offensive
المحتكر يموت ويتحاسب عند ربه وماله يتمتع به غيره ,Non-Offensive
@User.IDX يمكن كله بس حكي وما في منه... ,Non-Offensive
وربي انت احسن واحد من اول اتمنى احد بشرح الحاصل بتركيا في فيديو .. ,Non-Offensive
@User.IDX كل شي الا الوطن تقطع ارجلهم وايديهم مهما كان صغير او كبير الوطن خط احمر ,Offensive
من اكتر الحجات الى ديقتنى ان ازاى مبقتيش بتعملى فديوهات فى القناه افتقدتك جدا والله فى القناه ,Non-Offensive
كلما كانت المياه أعمق جرت لفترة أطول وكلما كان البئر أعمق كان الماء أبرد وأعذب✋ .. فكر عميقاً قبل أن تخرج دلوك من قلبك فالكلام مرهون بالعقل 👌 لو عجبتک 😍 يَآريَٺ ٺدځلُ عٌلُيَ ٻروُفُآيَلُيَ🚶 ٻنْشُر ﭸڪمْ وُقٌصًصً🙌 مْشُ ﭸٺځڛر ﭸآڄة👌ّ آدځلُ وُشُوُفُ لُوُ عٌڄٻڪ👍 آعٌمْلُ فُوُّلُوُّ ❤❤ (مْٺآٻعٌةّ)😙 وُﭸڪوُنْ مْمْنْوُنْةّ ڄدآ 😍وُشُڪرآآ❤❤ ,Non-Offensive
@User.IDX @User.IDX عبقرية لم تذق طعمها مسر منذ أيام الفراعنة . أنا برأيي ننتخبه ونحافز عليه لغاية 2060 يعني دوره واحده أم الأربعين سنه . ,Non-Offensive
ههههههه اهم شي اذا تورطت ف الدندول الكبير ,Offensive
جيبوتي والصومال دول عربية بالاسم فقط .. اريتريا وجيبوتي والصومال واثيوبيا مش عرب ولا راح يكونون عرب .. كفو عن تعريب الناس!! لا للتعريب ,Non-Offensive
"""الرياح جند من جنود الله وربك يمهل ولا يهمل """"وَمَنْ أَظْلَمُ مِمَّن مَّنَعَ مَسَاجِدَ اللّهِ أَن يُذْكَرَ فِيهَا اسْمُهُ وَسَعَى فِي خَرَابِهَا أُوْلَـئِكَ مَا كَانَ لَهُمْ أَن يَدْخُلُوهَا إِلاَّ خَآئِفِينَ لهُمْ فِي الدُّنْيَا خِزْيٌ وَلَهُمْ فِي الآخِرَةِ عَذَابٌ عَظِيمٌ"""" صدق الله والعظيم """,Non-Offensive
@User.IDX للأسف الضحايا 360الموضوع ليس العدد لأنه من قتل نفساً كأنما قتل الناس جميعا المشكلة أن النفس البشرية أصبحت أرخص شيء لتمرير المؤامرات 😭وتنفيذ الأجندات المشبوهة ,Non-Offensive
من قدك قابلت آريا ستارك الابتسامة شاقة وجهك شق ف نهاية المقطع :D وين قابلتها ؟! ,Non-Offensive
حد شاف فيلم السفاره في العماره ,Non-Offensive
اللى دارسين علم نفس والدكاترة هيفهموا من طريقه كلامها وشخصيتها وعنيها انها خافيه حاجه ومضغوط عليها اووى ,Non-Offensive
هذي مجرد أحداث شغب من فيءة قليلة من الجرذان ذو العقلية المنيكة لكن شفت قبل ماتش كورة ماتوا فية 84 روح بشرية ,Offensive
الي يعزف عالبيانو من اول ماشفته حسبته بنت ليين اخر الفيديو 😂💔 ,Non-Offensive
